avg_trend_strength,avg_seasonal_strength,median_trend_strength,median_seasonal_strength,test_trend_strength,test_seasonal_strength
0.721730304406326,0.621241818388548,0.7162911205250939,0.781146599675492,0.98864837090548,0.9919672173330345
0.8402750772794457,0.9430159359264207,0.48583470293186537,0.9746900512078235,0.8374566970833126,0.9639220059266128
0.513852224979364,0.7623892107907864,0.36701151385209874,0.6085157319125409,0.7731780722174273,0.9073980236057049
0.606435552390031,0.6636136782557012,0.7354295510381645,0.7999582827912028,0.9584117563165646,0.99416738027759
0.9064476488067872,0.41184268788880674,0.957021603706122,0.327851581811026,0.8492924666947155,0.2161210873348205
0.058792732136425926,0.499139646523569,0.031281532946074275,0.665622777026466,0.1251408208183472,0.9182823833955689
0.4617301857421003,0.4491424794023309,0.8185093499531757,0.5622837926929916,0.9236267245113854,0.9054543584768221
0.7474085228611901,0.8492087018253025,0.9700670005175012,0.7914244940234587,0.6312536346153146,0.9057394079424853
1.0,1.0,1.0,1.0,1.0,1.0
0.710287583143777,0.9172995815497764,0.8103355854175758,0.9934686981186472,0.7580377254665938,0.9702812660910854
